titulo,precio,vendidos_estimados,link,pais
"PEDIGREE - Sobres para Perro Adulto, 24 Sabor Res y 24 Sabor Pollo, Omega 6, Antioxidantes y Vitamina E, Pack de 48 Sobres",459,5000,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=9kfLx%2FH2Xmovi0HCGAUEVciVqeEjv0n22SeLIKrV2NvZXO6VGXC1g9iH5HSJuD23L2C3kiPmMJEFwuuLNn3yFkJQ54Cp3i3BSyxt%2FekVtbZXXDdtdXb6eFeeVPFlOr3G8uSx4VAfoEsD%2F4Rs0X3pSRs8fvUIXon5omp7mEi8GQWuNEEdL58vCi1QYyNeqAY6eZQJn%2F7efQRxwk4Av2j8w0Ea6xqOkyu41tD%2B%2BhNvgj%2FWWJa1e4xGP0gyDQMPCXV1ni9GMCJhMuR59TeiV6HWaQMB7J9MnqHu1x3JNJV8BKz7sYm0DQpY711YcqBT%2BvSu8tgrPeiIXI5b5HATQuhsGwSPOZXW9kjCIk1mN0qweHtHKqLXXroweUoNj4ziBhr0sIR0pOpegLZ569xdBLWIeqx9gnchl74IHL5AtEkFPL5qQqx9Y5Lxq%2FmvkqHFMdUQ7t%2FCVjgWlGzLw8sp%2FXVq%2FdveZp7V2dUaDTozm7jzfNEz0yDjG%2B2ADcSfIPmkxBmYtVhsPI4sfXimu58rIzgD8bYlu0I%2Bh6JKoNL%2B4wCG560bJw7Rk3HWdCkWOVEGCCBdpmxIA%2Bc%2BGxIAKh0cdcIH9gUzj5nsI%2FfLgQJPfoFxT4sXU4IB%2Fh0q1FmHk6E6oxtn0pv5tKdflgrlFnFw1f0VCgNQrSpJv5mLrUnZSafEpCz3ytyGZYSor0spXtuf9%2B%2FLTGvRryzM5msR2M%2Bpa9s9N8%2F%2Fz2iz6TTAMjBha9A9GvD4WHDW%2FHcbmJ0ZjNTc5P4bQQ8uGCpwgK%2BqvYTzo1IxDj1EeyV6MaqAFpGdRd3xk3HmlMBKiQtBXoZvLfjl03l9tyWgOKzxnORUAUvspyl7rk5NHDDn6jPH%2FhLpKdJj6IKN7kH7qv%2Bm%2Fc0OvP8GieZ1HaeBfwTYbbThFB5xrwcNg7zNNHOBA%2FCBvpuXfw7HPreEw1Y%2FaWr5VMQNJn0Gzc03sXpwV5fZsT6dIvWSCTk4b0Hxg7nA%2FiDxnV8rgc7blHme2TYK%2BicUNUCzSJx9k5ukLL0toki14Q%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLM29578350&backend_model=search-backend&search_layout=stack&position=1&type=pad&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2924635218&sid=search,Mexico
Pack x20 Alimento Húmedo Adulto Pollo Y Carne 100g Purina® Dog Chow®,230,1000,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=IudQIIXWmxS6Wz0LTv6ITntgJnL11ScNnQUY5%2BwaWZhZzhKBk8QMIb87YJS8UNYbHwoxx8yYEIdewFn5wI0zuzIt6VqzlLvQjMBUi8IOgFeaZntQyPUX1kHLhgOKsgU%2BIXvlScFsEqHrdFqqkHTBpkbKYqOzgqwuglaLby0h6H0feVDGd8HV8sQZ2sXkJ63%2B2ye84zxr%2BRMlNJybOBk3wmAgvu41ro6DpdnJYXSxypJbECsaaTbbAS%2BUkItWVRFbghKP8s2GPPKB4rrFaXV7ufVw8NfQa3VOjHjrtDg4ku%2FmY%2FXTJsECf0F9oEblS7F50nfH9LUrGSvyeTF01aRu38J56nokKI%2BIUuJp58h962zo5Vvajzv9bEeUSkTbMHigPbso0S9TbCjJtD4zAfsYJ0DMINZdpLVAGSSLUk8E8mlvPIZdlGV8tJ8Kt49lM5JKrMyyZrnoS15xJVZi2WedPMYhCfa5cCUqrQ%2BnwR5YkRWMg022M2l637Pdf9dJZrvpHzg2TZwSk%2FZpb%2BZzRgkhR0gj1KnExwsAENzI4JfzREv4iXfumRtihqM3wlUyXCaY2l2HyAYBaHlEJWzlIov959lsQ8vqRAyWlLdJCfNLu2FiHPeuhAcTl6HQnah5MF0vY22TS4GlmKZjaXClBRcMGuxuO1KIOGRQJ%2BdtrhFX%2BXwg1ZC9gVPRxj8FIqQmVHzxTjdWzGZL0Qe288hkMLlZgtBFLQYAaqTLWmRQb7ZY9xkOona1ImggTMjNxjL4pwKPzuUuorWMnUgqZpO%2Bc3L4zn3l7bYqJpS69TbdHExGhXTbKqkUJYA5v2mMhcDAyWfqByE5aX4j8Yoe9bwuNhb%2BU4OY6fcedYY0FMZVCTqYzqerFV32UPHHsiAwy5lweanE5OZy9ZClaZyKbYbRsMm8YWChH7QAxhXW39OHAKhERz7Y6Dne4auNChi1JB5%2F8GEExH7MpEQFPDI%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLM24106531&backend_model=search-backend&search_layout=stack&position=2&type=pad&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2440328134&sid=search,Mexico
Pechera Arnés De Seguridad Para Perro Chico Mediano Y Grande Color Negro Con Correa Talla Del Arnés M,199,5000,https://www.mercadolibre.com.mx/pechera-arnes-de-seguridad-para-perro-chico-mediano-y-grande-color-negro-con-correa-talla-del-arnes-m/p/MLM57651966#polycard_client=search-nordic&search_layout=stack&position=3&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2466828651&sid=search,Mexico
Cama Para Perro Cama Grande Exterior Impermeable Fancy Pets Color Azul,298,1000,https://www.mercadolibre.com.mx/cama-para-perro-cama-grande-exterior-impermeable-fancy-pets-color-azul/p/MLM24422487#polycard_client=search-nordic&search_layout=stack&position=4&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM1916747765&sid=search,Mexico
Cepillo Para Mascotas Para Perro Gato Deslanador Pelo Grande Color Black&red,198,1000,https://www.mercadolibre.com.mx/cepillo-para-mascotas-para-perro-gato-deslanador-pelo-grande-color-blackred/p/MLM24448603#polycard_client=search-nordic&search_layout=stack&position=5&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2327672054&sid=search,Mexico
Alimento Para Perros Pedigree High Protein Adulto 10kg,526,5000,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=ouzyLlOvUnGudwWqIdQf8Ca6n9s8cbNhHwydtGdK%2Fc9UrBNPr9XsqW17fhqU1BdWDbxyXgabv3HSQhcid32ZGSRFIzwVb5mFe2TD1J3LqS2Iz2OoSLxlitpegesmGlz8fWPxaU%2BFkgNAwRYDyaKo%2FXc25wd1RPucJio8eKv%2Fgty%2FA%2FAZv9jH4cvjOJlO%2Bz6p9L5uQI%2FYoc6jdFjG7OCow21LPx5HcEqqyJwjQ6ddvwpLRAVSnhbOxV0TuWgOPan3xyEDxFK5eb%2Ba%2Fj1D4Xx2ztlKt3pdq1JjgEs9kw4tOHKii5dGHQnNVrd11fcTsnlfky432C1DkqgP%2B3aMxsfbrO%2FW4SOc0GSLKVoa0Ocil0R25XhLdojAqXHHoRBrqFwnRA%2B2dF5IBsj5vJkPYlTsmhFF7Dzc2y141FNbpQ0OFL38r2zehbECp4kTJVY0RVBNtF3ofw9ubM0%2FIcHjpJAfrA1hk3HePaFnclH%2B%2B5G8KAHKTtA1DGxpD2NMFjFhHxweS9FGM%2Fo3FTbz3lzADHXriunIbdm4gf0X2KoL7BvWWieAg00kWdUfaCy92WSBacEzBqu6ClrvzOpPpf11jnipDiZg0VO6ZKMxDcqoT6MXMDaaBXaWcoiyhHou%2FG%2BoqgCDfzqLGENr2EE%2Bt2qWuDSrwc8PVv%2F%2BmN2bpJ4FW%2FktX7p1100yoMh3YnemMXivPzsgRipamk%2BlAT1A2CyenPNuu3RQ3gK3NTm2blGxjdrUxhPnmIFmNkS709ilxcTkh1r2P0C7Pwo%2F6ondgGn8%2FvH2UU1HCgc4clGkXocEh7HXdQP%2BeFNZSvp4SxkKKMjaL1NtREjN4H6VHUIjbpQ2XIefMapjDPPGWRlz7fE%2F1HOLuqRdT5shnDNB%2FTGLPZCVAOISssw1KBPByAx2A4%2FeFxNschhiubSI%2F9g3nbYJXQTi2OII0UDoO4ZT6fQt#polycard_client=search-nordic&is_advertising=true&searchVariation=MLM27932166&backend_model=search-backend&search_layout=stack&position=6&type=pad&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM2049705899&sid=search,Mexico
900 Bolsas Sanitarias (60 Rollos) / Recoger Heces Popo Perro,235,1000,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=XDrLrN0ICYZpma9id94Nm5ovqrOqvjfhearK7lIGyHI0VzMaX%2FAhUs4CavjjUURDmfxY4oFPecoHcpe534zNi9dKzjCga7DNQqv8OsNmxKfehvf5tYOfs0Hyv52nqDMRmcwH9QjpGImT4ejJUuBP3M2IWySsVwosawZz2dPhfQWf8PjjMPJtYhiLO1Gd0weiM2q5J%2FrctDZ3wYypjqcZEdGvn5fUzxk%2Fvze4AtpBVRA%2FBGu8CuBiXiE%2ByCshOTIizYmTotGD5d3XTA%2FmOy%2F4Fb%2B4%2FbO3TAo3nMc08GFavEedDvk5OSpJxUYn3jorRVsKq3jx2Fxhc1oXyrcaWEIokzeQD8EXNeLGpzlvYJ4R47kL57NHfnDmqRroT5GwLhs2dlIFQJfeCVn8lRI%2F%2BZ%2B6nYpuJYnJTzfgGexw0YaStmMDwg8JCv%2FpcL0MLuqvJ4iPntZn%2FSN52PPMHH28BHfUPrIWomB3aG%2FZa2Fi11dqkWsP9IR675Evhka5BynYw1xYIT0JpoqECSgc5DNJDeBYMpmFC8JmESVb3wYMWLKFO9gWcw7jaqH8k2mklMkSuwe6PIvMOHgHhuY7VQQEmt6PRaW0EMZ5bz8nFj2GU1kAI3N1He2zSL5P83AiXie6CMp4eayT9Hz1UjybDF5XDn%2FPUXRtbWobyO9bcunQFycDQEv1gn51%2FE%2BK2jhw1qSKttpfFSyAZBY%2BNoPdb3MINgVH0JjNv1qXxBnEyTAwngqdtS7x8Eset%2FWIcDPjWCXbxUzEBdEJ5hz4Kg8Of20Hi055D8EAj%2FRo0CecLiRavWJsHaRdv6a7JVevt83CkFd48H9U4Um2tHR6vVkNmHpomvZvHC%2Fkd6spkhzMsONdpAEc%2BNbre4w0IhAu1hrVj4rr4WWInVjoE4u8zs%2BYuA5xL4IwFVKGe23zxMedXDPf6nzTLIU7lorXFYZ1r4Ot7FL8&searchVariation=189193612843#polycard_client=search-nordic&is_advertising=true&searchVariation=189193612843&backend_model=search-backend&search_layout=stack&position=7&type=pad&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328,Mexico
Collar y cuerda para perros medianos y grandes talle L DELTAGP,207,1000,https://www.mercadolibre.com.mx/collar-y-cuerda-para-perros-medianos-y-grandes-talle-l-deltagp/p/MLM44171362#polycard_client=search-nordic&search_layout=stack&position=8&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM4029987008&sid=search,Mexico
Aceite De Salmón Omega 3 Y 6 Para Perros Y Gatos 250 Ml,185,10000,https://www.mercadolibre.com.mx/aceite-de-salmon-omega-3-y-6-para-perros-y-gatos-250-ml/p/MLM37392014#polycard_client=search-nordic&search_layout=stack&position=9&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM3807423488&sid=search,Mexico
Comedero Perro Gato Doble Con 2 Platos 473ml / 16 Onzas Color Plateado,98,10000,https://www.mercadolibre.com.mx/comedero-perro-gato-doble-con-2-platos-473ml-16-onzas-color-plateado/p/MLM20664917#polycard_client=search-nordic&search_layout=stack&position=10&type=product&tracking_id=c99b6e65-3a45-4c28-8e4c-651d99fe0328&wid=MLM3028146642&sid=search,Mexico
